image_id,width,height,class_id,x,y,w,h,nx,ny,nw,nh
000a312787f2,4256,3488,1,789.28836,582.43035,1026.65662,1917.30292,0.18545309210526317,0.16698117832568807,0.24122570958646616,0.5496854701834862
000a312787f2,4256,3488,1,2245.91208,591.20528,1094.66162,1761.54944,0.5277049060150376,0.16949692660550458,0.2572043280075188,0.505031376146789
000c3a3f293f,2832,2320,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
0012ff7358bc,3056,2544,1,677.42216,197.97662,867.79767,999.78214,0.221669554973822,0.07782099842767295,0.28396520615183246,0.3929961242138365
0012ff7358bc,3056,2544,1,1792.69064,402.5525,617.02734,1204.358,0.5866134293193718,0.15823604559748428,0.20190685209424084,0.47341116352201257
001398f4ff4f,4280,3520,1,2729.0,2181.33331,948.00012,604.0,0.6376168224299066,0.6196969630681818,0.22149535514018692,0.1715909090909091
001bd15d1891,3408,2800,1,623.23328,1050.0,714.0,1106.0,0.18287361502347418,0.375,0.20950704225352113,0.395
001bd15d1891,3408,2800,1,2578.56661,998.66667,662.66667,1120.0,0.7566216578638497,0.35666666785714285,0.1944444454225352,0.4
0022227f5adf,3050,2539,1,1857.2065,508.30565,376.02734,399.52911,0.6089201639344263,0.20019915320992518,0.12328765245901639,0.15735687672311935
0023f02ae886,2846,2330,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
002e9b2128d0,2872,2416,1,276.72917,627.42968,910.58859,1655.81519,0.09635416782729805,0.2596977152317881,0.3170573084958217,0.6853539693708609
002e9b2128d0,2872,2416,1,1864.18229,745.22656,875.06262,1535.09888,0.649088541086351,0.30845470198675495,0.30468754178272983,0.6353886092715232
00326161e51e,2836,2336,1,542.96057,364.37257,590.36261,889.78085,0.19145295133991536,0.15598140839041097,0.20816735190409028,0.3808993364726027
00326161e51e,2836,2336,1,1743.45854,782.42827,615.78491,771.14337,0.6147597108603667,0.3349436087328767,0.21713149153737657,0.3301127440068493
0044e449aae1,2836,2336,1,1703.78756,938.29333,911.04,840.96,0.6007713540197461,0.401666665239726,0.32124118476727787,0.36000000000000004
0044e449aae1,2836,2336,1,457.9209,985.01333,654.08,482.77333,0.16146717207334274,0.421666665239726,0.23063469675599438,0.20666666523972602
0049814626c8,4248,3480,1,529.25901,832.36731,473.54749,1694.5575,0.12459016242937852,0.23918600862068964,0.11147539783427494,0.48694181034482753
0049814626c8,4248,3480,1,3031.63269,1106.28193,659.25269,1569.20654,0.713661179378531,0.3178971063218391,0.15519131120527307,0.45092141954022985
004cbd797cd1,2992,2991,1,515.18569,1170.06439,863.33918,1190.68861,0.17218773061497328,0.3911950484787696,0.2885491911764706,0.3980904747576061
